City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,luanda,-8.8368,13.2343,299.15,89,75,4.12,AO,1675220183
288,linhares,-19.3911,-40.0722,294.95,96,40,0.59,BR,1675220184
289,atbasar,51.8,68.3333,251.24,95,100,1.78,KZ,1675220185
290,huambo,-12.7761,15.7392,287.5,95,96,0.72,AO,1675219958
291,elat,29.5581,34.9482,287.06,41,20,2.06,IL,1675220009
292,las palmas,28.4204,-14.0131,286.59,63,100,4.12,ES,1675220186
293,guaymas,27.9333,-110.9,286.97,59,0,1.51,MX,1675220129
294,laguna,38.421,-121.4238,283.31,53,0,2.06,US,1675220188
295,coahuayana,18.7333,-103.6833,293.82,91,7,0.96,MX,1675220189
296,polyarnyy,69.1989,33.4478,270.26,91,100,2.4,RU,1675220189
297,jumla,29.2747,82.1838,278.5,34,0,1.47,NP,1675220190
298,elko,41.0002,-115.5012,258.16,78,100,2.68,US,1675220079
299,lucapa,-8.4192,20.7447,291.1,93,100,0.99,AO,1675220191
300,rujiena,57.8975,25.3316,272.62,97,96,2.88,LV,1675220192
301,solnechnyy,50.7214,136.6319,255.62,89,100,1.3,RU,1675220193
302,lebu,-37.6167,-73.65,286.91,84,0,9.07,CL,1675219952
303,yazoo city,32.8551,-90.4056,272.54,93,100,4.46,US,1675220195
304,marolambo,-20.05,48.1167,294.52,99,100,0.24,MG,1675220196
305,ugoofaaru,5.6667,73.0,299.95,75,100,5.47,MV,1675220196
306,matamoros,25.5333,-103.25,294.88,44,94,6.04,MX,1675220197
307,hampton,37.0299,-76.3452,281.16,87,100,6.17,US,1675219972
308,lompoc,34.6391,-120.4579,284.23,78,0,0.0,US,1675219998
309,salina cruz,16.1667,-95.2,298.57,66,0,4.76,MX,1675220198
310,ararangua,-28.9347,-49.4858,294.74,94,12,1.3,BR,1675220199
311,powell river,49.8496,-124.5361,274.45,100,100,2.06,CA,1675220200
312,ketchikan,55.3422,-131.6461,277.14,93,100,2.57,US,1675220200
313,boca do acre,-8.7522,-67.3978,295.2,97,100,1.08,BR,1675220201
314,sol-iletsk,51.1631,54.9918,253.47,88,5,2.47,RU,1675220201
315,gizo,-8.103,156.8419,301.98,72,96,3.8,SB,1675220202
316,tukrah,32.5341,20.5791,286.27,55,45,10.31,LY,1675220202
317,kitui,-1.367,38.0106,289.11,94,37,1.37,KE,1675220202
318,leningradskiy,69.3833,178.4167,258.67,96,100,4.26,RU,1675220006
319,toora-khem,52.4675,96.11,253.0,99,94,0.8,RU,1675219990
320,midland,31.9974,-102.0779,269.52,89,100,4.63,US,1675220203
321,kutum,14.2,24.6667,290.26,20,63,2.92,SD,1675220203
322,port macquarie,-31.4333,152.9167,302.53,60,6,6.23,AU,1675220204
323,caconda,-13.7333,15.0667,288.91,93,100,1.06,AO,1675220204
324,rio claro,-22.4114,-47.5614,293.79,94,100,0.85,BR,1675220205
325,puerto carreno,6.189,-67.4859,298.33,49,0,3.32,CO,1675220205
326,hachinohe,40.5,141.5,277.15,71,75,3.58,JP,1675220205
327,caravelas,-17.7125,-39.2481,296.94,85,95,1.78,BR,1675220206
328,aranos,-24.1333,19.1167,295.84,68,57,8.13,NA,1675220206
329,kempsey,-31.0833,152.8333,302.56,64,30,1.79,AU,1675220206
330,biu,10.6129,12.1946,295.57,18,99,4.21,NG,1675220207
331,andradina,-20.8961,-51.3794,294.64,92,100,1.71,BR,1675220207
332,ituiutaba,-18.9689,-49.465,295.19,87,100,1.43,BR,1675220208
333,bambanglipuro,-7.95,110.2833,302.2,68,100,2.36,ID,1675220208
334,wladyslawowo,54.7909,18.4009,277.3,84,100,13.54,PL,1675220208
335,luganville,-15.5333,167.1667,302.1,71,91,0.34,VU,1675220209
336,axim,4.8699,-2.2405,298.36,87,87,0.05,GH,1675220209
337,nouadhibou,20.931,-17.0347,289.14,63,100,9.26,MR,1675220209
338,takoradi,4.8845,-1.7554,298.66,87,69,1.05,GH,1675220031
339,norman wells,65.282,-126.8329,241.17,75,20,0.0,CA,1675220210
340,yarmouth,41.7057,-70.2286,273.23,65,100,8.05,US,1675220210
341,barreiras,-12.1528,-44.99,294.72,72,2,1.67,BR,1675220210
342,vangaindrano,-23.35,47.6,295.37,85,100,2.62,MG,1675220211
343,dunedin,-45.8742,170.5036,291.37,10,100,1.34,NZ,1675220211
344,bandarbeyla,9.4942,50.8122,296.39,71,6,5.14,SO,1675220211
345,havelock,34.8791,-76.9013,288.12,89,100,1.54,US,1675219965
346,kalmunai,7.4167,81.8167,297.9,87,100,7.2,LK,1675219956
